,run_id,created_at,instance,class_key,period,n_items,cap_mean,status_label,solver_version,objective,best_bound,gap,runtime_sec,run_batch
31,872772a1-fc4f-405a-bc82-14c2d73f7cd5,2025-09-27T06:43:45.720283+00:00,ins#2,X332HB12,40,30,2700.375,TIME_LIMIT,lefo_mip_v1,1743183.5952186442,798398.8699586326,0.5419880773611279,600.036838054657,11
43,68cccf23-1c1b-427b-8530-07ea9d7e2da0,2025-09-27T04:42:52.092957+00:00,ins#1,X332HB12,40,30,2333.4,TIME_LIMIT,lefo_mip_v1,1636269.4085737567,806608.8945271447,0.5070439560254201,600.0600368976593,11
29,a3b5aba3-b0d7-45b4-8cdd-0ae21952eb6a,2025-09-27T07:03:55.177709+00:00,ins#5,X332HB12,40,30,2691.275,TIME_LIMIT,lefo_mip_v1,1810654.0917150269,918054.0109875231,0.49297106764442516,600.0532231330872,11
23,af18b902-13da-4d86-a1ac-9fc54392d76d,2025-09-27T08:04:22.087259+00:00,ins#1,X332LB12,40,30,2270.9,TIME_LIMIT,lefo_mip_v1,1413210.1165039013,739740.8709660547,0.4765528053280019,600.0557408332825,11
9,bfcb3f57-3aa9-433c-9cb3-fd89ab9e4df2,2025-09-27T10:25:24.72008+00:00,ins#4,X332HB12,40,30,2711.875,TIME_LIMIT,lefo_mip_v1,1650452.481084096,871658.1742540522,0.4718671490126723,600.0585720539093,11
5,01b43e95-5bb3-45bc-95af-55aee736c0a4,2025-09-27T11:05:41.385324+00:00,ins#3,X332HB12,40,30,2686.125,TIME_LIMIT,lefo_mip_v1,1653120.9161422083,909927.4046215283,0.44956996446153935,600.048623085022,11
73,d27b053b-4ace-4bc7-9e94-b4d8dbae0cdc,2025-09-26T23:40:42.577893+00:00,ins#5,X331LB12,40,30,2860.275,TIME_LIMIT,lefo_mip_v1,1451577.8624094562,821624.6437247412,0.4339782487720386,600.0577321052551,11
21,93827f8c-b144-4032-8577-9dc098813ff0,2025-09-27T08:24:30.933993+00:00,ins#1,X331HB12,40,30,2508.25,TIME_LIMIT,lefo_mip_v1,1282011.452926022,732040.0898608009,0.42899099053287243,600.047856092453,11
15,4d770a4a-c229-4f90-b654-2f8b0de2781b,2025-09-27T09:24:56.947542+00:00,ins#1,X332HB8,40,30,2322.475,TIME_LIMIT,lefo_mip_v1,929623.1796928277,568622.998565573,0.3883295823653395,600.0752720832825,11
75,0c628bb6-a681-4ff4-84ac-715c95772bc3,2025-09-26T23:20:33.59008+00:00,ins#5,X332LB12,40,30,2638.1,TIME_LIMIT,lefo_mip_v1,1728538.3681119396,1087917.535506346,0.3706141815673641,600.0573260784149,11
13,de25e622-c53e-4f83-9b06-36bd1bd4b27e,2025-09-27T09:45:06.870886+00:00,ins#3,X332LB12,40,30,2640.925,TIME_LIMIT,lefo_mip_v1,1781389.2744210495,1133573.8690563508,0.3636574075451523,600.0508141517639,11
45,1ba96234-e9be-43aa-8aeb-83ce08c8b76d,2025-09-27T04:22:44.182606+00:00,ins#4,X331LB12,40,30,2884.45,TIME_LIMIT,lefo_mip_v1,1476552.6365504353,973889.6454250095,0.34043011991754085,600.233864068985,11
19,dfd05b00-da74-4e68-ba51-ff9cecdad53e,2025-09-27T08:44:39.184872+00:00,ins#4,X332LB12,40,30,2633.575,TIME_LIMIT,lefo_mip_v1,1755917.9952406262,1168244.4384333603,0.33468166417802026,600.054799079895,11
1,7914d492-6054-43e7-9234-07cf952a5548,2025-09-27T11:45:58.211014+00:00,ins#4,X331HB12,40,30,2908.9,TIME_LIMIT,lefo_mip_v1,1483530.6084975258,989034.0953474158,0.3333241055612064,600.053738117218,11
65,e3fb1390-07ad-437f-b11c-d766683c1d9b,2025-09-27T01:01:17.064458+00:00,ins#2,X331HB12,40,30,2989.625,TIME_LIMIT,lefo_mip_v1,1480613.0445667354,987795.8174118412,0.33284674139765186,600.051882982254,11
