node_id,cg_iter,rmp_obj,num_columns,min_rc,columns_added
0,0,1371.67,2,-387.3910000000001,1
0,1,1276.7987346938776,3,-379.69100000000026,1
0,2,1141.8672222971834,4,-358.35500000000025,1
0,3,1088.2106779811097,5,-405.741846025187,1
0,4,1003.8485119758727,5,0.0,0
1,0,1273.3415064935066,6,-723.767,1
1,1,1110.3443928571428,7,-367.4302976190477,1
1,2,1033.9479943422914,7,0.0,0
2,0,78475587.32476272,8,-169999895.95,1
2,1,42870337.38063398,9,-28562080.38297385,1
2,2,30902038.749323297,10,-37999932.98199996,1
2,3,23001067.342891082,11,-45.93999996781349,1
2,4,23001062.584749028,11,0.0,0
3,0,1117.45525,12,-367.4302976190477,1
3,1,1073.1005174825175,13,-862.7666923076927,1
3,2,1048.237287711124,14,-2.9561764705881615,1
3,3,1047.8897839783979,14,0.0,0
4,0,66475585.77933899,15,-54999912.51999995,1
4,1,37001051.60669307,15,0.0,0
7,0,1117.45525,16,-279.47029761904764,1
7,1,1066.178496849685,16,0.0,0
8,0,111001106.064,17,-270999923.624,1
8,1,11380227.472156862,18,-36306999.53419608,1
8,2,1207.4193634222918,19,-297.46000000000004,1
8,3,1167.2903601440576,20,-781.4535882352948,1
8,4,1103.7317917137475,21,-48.11378888888862,1
8,5,1099.0641508120248,22,-43.644690265486815,1
8,6,1095.006000235405,22,0.0,0
11,0,1318.717826923077,23,-3999922.9249999993,1
11,1,1318.717826923077,24,-318.5845961538462,1
11,2,1240.6971094976452,25,-290.54999999999995,1
11,3,1107.174769230769,26,-57.36799999999994,1
11,4,1105.864,26,0.0,0
12,0,21001045.77445454,27,-100999824.626,1
12,1,1083.7551782178216,28,-27.718000000000075,1
12,2,1083.4030262858143,29,-19.380359765179946,1
12,3,1082.1780300302757,29,0.0,0
15,0,51063211.82245133,30,-170000008.95,1
15,1,2914303.713956528,31,-28121866.442660883,1
15,2,1120.849,32,-4.369999999999436,1
15,3,1120.5919411764705,32,0.0,0
16,0,21001045.77445454,33,-100999823.957,1
16,1,1083.8942772277228,34,-23.65400000000045,1
16,2,1083.4226284378437,35,-7.753402640264085,1
16,3,1083.179285714286,35,0.0,0
17,0,23001186.274000008,36,-66000035.964,1
17,1,1198.486409090909,37,-175.87300000000005,1
17,2,1168.8406715454153,38,-47.19765217391296,1
17,3,1148.9765454545454,39,-15.720000000000027,1
17,4,1145.7080306030605,39,0.0,0
18,0,10001072.858999997,40,-169999716.10000002,1
18,1,1089.559,40,0.0,0
19,0,7856315.606217397,41,-14905914.892891288,1
19,1,3225158.5013562725,42,-11429176.891549945,1
19,2,1162.9918099173553,43,-84.0,1
19,3,1158.050633446767,44,-84.0,1
19,4,1155.529,44,0.0,0
20,0,31001029.868999995,45,-270999372.39699996,1
20,1,19001057.659538705,46,-109.79929888248444,1
20,2,19001053.374999996,46,0.0,0
13,0,4001347.988,47,-84000133.602,1
13,1,1130.0595093678864,48,-229.96501225704765,1
13,2,1125.2030018127437,49,-36.16473262032059,1
13,3,1123.2193900659136,50,-20.426416902071423,1
13,4,1117.1824933629105,50,0.0,0
14,0,1166.6084969860203,51,-5.323973451327447,1
14,1,1166.367375,51,0.0,0
5,0,44001054.88273914,52,-100999874.99699995,1
5,1,23001085.631603956,53,-45.93999996781349,1
5,2,23001080.8734619,53,0.0,0
6,0,61001091.92573914,54,-117999949.62900004,1
6,1,25035012.865444254,55,-114999843.12236838,1
6,2,23001108.14690863,55,0.0,0
9,0,58001071.759,56,-100999963.337,1
9,1,37001079.38199999,57,-3999604.519999996,1
9,2,37001079.38199999,58,-0.5499999821186066,1
9,3,37001079.32100991,58,0.0,0
10,0,66475585.77933899,59,-15550699.063822001,1
10,1,37001061.41978242,59,0.0,0
