node_id,depth,lp_bound,incumbent,branch_item,branch_t,direction,status,cg_iters,columns_added
0,0,1003.848512,inf,0,4,Y,BRANCHED,1,0
2,1,23000986.114661,inf,0,2,Y,BRANCHED,2,4
4,2,103000707.945879,inf,0,3,Y,BRANCHED,1,0
6,3,183000487.157010,inf,0,7,Y,BRANCHED,1,0
8,4,183000532.719169,inf,0,6,Y,BRANCHED,1,0
10,5,183000587.970488,inf,0,8,Y,BRANCHED,1,0
12,6,216000449.637522,inf,0,5,Y,BRANCHED,1,0
14,7,296000165.440000,296000165.440000,,,,NEW_INCUMBENT,1,0
13,7,216000453.910000,216000453.910000,,,,NEW_INCUMBENT,1,0
11,6,183000593.086000,183000593.086000,,,,NEW_INCUMBENT,1,0
9,5,183000560.556791,183000593.086000,0,9,Y,BRANCHED,1,0
7,4,183000505.445723,183000593.086000,0,6,Y,BRANCHED,1,0
5,3,103000727.401010,183000593.086000,0,7,Y,BRANCHED,1,0
3,2,23000996.187879,183000593.086000,0,3,Y,BRANCHED,1,0
1,1,1033.947994,183000593.086000,0,3,Y,BRANCHED,2,1
24,2,37000926.333548,183000593.086000,0,5,Y,BRANCHED,2,1
23,2,1047.889784,183000593.086000,0,7,Y,BRANCHED,1,0
28,3,1095.006000,183000593.086000,0,6,Y,BRANCHED,2,1
27,3,1066.178497,183000593.086000,0,6,Y,BRANCHED,2,1
32,4,1082.050734,183000593.086000,0,9,Y,BRANCHED,1,0
31,4,1105.864000,183000593.086000,0,3,Z_4,BRANCHED,2,1
34,5,1083.179286,183000593.086000,0,5,Y,BRANCHED,1,0
33,5,1120.054455,183000593.086000,0,5,Y,BRANCHED,1,0
38,6,1089.559000,183000593.086000,0,8,Y,BRANCHED,2,1
37,6,1137.258000,183000593.086000,0,5,Z_9,BRANCHED,1,0
42,7,19001013.095000,183000593.086000,0,7,Z_9,BRANCHED,1,0
41,7,1155.529000,183000593.086000,0,7,Z_9,BRANCHED,1,0
30,4,1166.367375,183000593.086000,0,8,Y,BRANCHED,1,0
29,4,1107.402791,183000593.086000,0,9,Y,BRANCHED,1,0
36,5,1105.864000,183000593.086000,0,3,Z_5,BRANCHED,1,0
54,6,1147.437457,183000593.086000,0,5,Y,BRANCHED,1,0
53,6,1105.864000,183000593.086000,0,6,Z_7,BRANCHED,1,0
58,7,1105.864000,183000593.086000,0,6,Z_8,BRANCHED,1,0
60,8,1105.864000,183000593.086000,0,3,Z_6,BRANCHED,1,0
62,9,1105.864000,183000593.086000,0,6,Z_9,BRANCHED,1,0
64,10,1130.212279,183000593.086000,0,9,Y,BRANCHED,1,0
63,10,1105.864000,1105.864000,,,,NEW_INCUMBENT,1,0
61,9,1105.864000,1105.864000,,,,PRUNED_BY_BOUND,0,0
59,8,1105.864000,1105.864000,,,,PRUNED_BY_BOUND,0,0
57,7,1105.864000,1105.864000,,,,PRUNED_BY_BOUND,0,0
35,5,1105.864000,1105.864000,,,,PRUNED_BY_BOUND,0,0
52,5,1107.402791,1105.864000,,,,PRUNED_BY_BOUND,0,0
51,5,1107.402791,1105.864000,,,,PRUNED_BY_BOUND,0,0
40,6,1120.054455,1105.864000,,,,PRUNED_BY_BOUND,0,0
39,6,1120.054455,1105.864000,,,,PRUNED_BY_BOUND,0,0
66,11,1130.212279,1105.864000,,,,PRUNED_BY_BOUND,0,0
65,11,1130.212279,1105.864000,,,,PRUNED_BY_BOUND,0,0
44,7,1137.258000,1105.864000,,,,PRUNED_BY_BOUND,0,0
43,7,1137.258000,1105.864000,,,,PRUNED_BY_BOUND,0,0
56,7,1147.437457,1105.864000,,,,PRUNED_BY_BOUND,0,0
55,7,1147.437457,1105.864000,,,,PRUNED_BY_BOUND,0,0
48,8,1155.529000,1105.864000,,,,PRUNED_BY_BOUND,0,0
47,8,1155.529000,1105.864000,,,,PRUNED_BY_BOUND,0,0
50,5,1166.367375,1105.864000,,,,PRUNED_BY_BOUND,0,0
49,5,1166.367375,1105.864000,,,,PRUNED_BY_BOUND,0,0
46,8,19001013.095000,1105.864000,,,,PRUNED_BY_BOUND,0,0
45,8,19001013.095000,1105.864000,,,,PRUNED_BY_BOUND,0,0
22,3,23000996.187879,1105.864000,,,,PRUNED_BY_BOUND,0,0
21,3,23000996.187879,1105.864000,,,,PRUNED_BY_BOUND,0,0
26,3,37000926.333548,1105.864000,,,,PRUNED_BY_BOUND,0,0
25,3,37000926.333548,1105.864000,,,,PRUNED_BY_BOUND,0,0
20,4,103000727.401010,1105.864000,,,,PRUNED_BY_BOUND,0,0
19,4,103000727.401010,1105.864000,,,,PRUNED_BY_BOUND,0,0
18,5,183000505.445723,1105.864000,,,,PRUNED_BY_BOUND,0,0
17,5,183000505.445723,1105.864000,,,,PRUNED_BY_BOUND,0,0
16,6,183000560.556791,1105.864000,,,,PRUNED_BY_BOUND,0,0
15,6,183000560.556791,1105.864000,,,,PRUNED_BY_BOUND,0,0
