node_id,depth,lp_bound,incumbent,branch_item,branch_t,direction,status,cg_iters,columns_added
0,0,1003.848512,inf,0,4,Y,BRANCHED_Y,8,0
2,1,1033.947994,inf,0,3,Y,BRANCHED_Y,2,0
4,2,1047.889784,inf,0,7,Y,BRANCHED_Y,2,2
6,3,1066.178497,inf,0,6,Y,BRANCHED_Y,1,0
8,4,1105.864000,1105.864000,,,,NEW_INCUMBENT,6,46
7,4,1082.050734,1105.864000,0,9,Y,BRANCHED_Y,2,6
10,5,1120.054455,1105.864000,,,,PRUNED_BY_BOUND,1,0
9,5,1083.179286,1105.864000,0,5,Y,BRANCHED_Y,4,2
12,6,1137.258000,1105.864000,,,,PRUNED_BY_BOUND,1,0
11,6,1089.559000,1105.864000,0,8,Y,BRANCHED_Y,2,0
14,7,1155.529000,1105.864000,,,,PRUNED_BY_BOUND,1,0
13,7,19001013.095000,1105.864000,,,,PRUNED_BY_BOUND,6,48
5,3,1095.006000,1105.864000,0,6,Y,BRANCHED_Y,2,7
16,4,1107.402791,1105.864000,,,,PRUNED_BY_BOUND,1,0
15,4,1166.367375,1105.864000,,,,PRUNED_BY_BOUND,2,0
3,2,37000926.333548,1105.864000,,,,PRUNED_BY_BOUND,10,10
1,1,23000986.114661,1105.864000,,,,PRUNED_BY_BOUND,4,10
