node_id,depth,lp_bound,incumbent,branch_item,branch_t,direction,status,cg_iters,columns_added
0,0,1039.040684,inf,0,4,Y,BRANCHED_Y,1,0
1,1,171683.218316,inf,0,6,Y,BRANCHED_Y,1,0
2,1,1070.713129,inf,0,9,Y,BRANCHED_Y,1,0
5,2,1071.322434,inf,0,8,Y,BRANCHED_Y,2,2
6,2,1087.771459,inf,0,7,Y,BRANCHED_Y,1,0
7,3,1076.814281,inf,0,7,Y,BRANCHED_Y,1,0
8,3,1120.779516,inf,0,3,Y,BRANCHED_Y,1,0
11,4,86404.170198,inf,0,2,Y,BRANCHED_Y,3,8
12,4,1138.122348,inf,0,5,Y,BRANCHED_Y,1,0
9,3,1115.271147,inf,0,6,Y,BRANCHED_Y,1,0
10,3,1129.323169,inf,0,6,Y,BRANCHED_Y,1,0
19,4,1138.868542,inf,0,5,Y,BRANCHED_Y,1,0
20,4,1167.135351,inf,0,2,Y,BRANCHED_Y,1,0
13,4,121714.783313,inf,0,5,Y,BRANCHED_Y,1,0
14,4,1161.539562,inf,0,5,Y,BRANCHED_Y,1,0
21,4,1149.943940,inf,0,2,Y,BRANCHED_Y,1,0
22,4,1179.844435,inf,0,2,Y,BRANCHED_Y,1,0
17,5,395203.675545,inf,0,2,Y,BRANCHED_Y,1,0
18,5,1196.440476,inf,0,2,Y,BRANCHED_Y,1,0
23,5,59987.018127,inf,0,2,Y,BRANCHED_Y,1,0
24,5,1186.233280,inf,0,2,Y,BRANCHED_Y,1,0
31,5,601034.787155,inf,0,5,Y,BRANCHED_Y,1,0
32,5,1165.828843,inf,0,3,Y,BRANCHED_Y,1,0
29,5,1175.438055,inf,0,7,Y,BRANCHED_Y,1,0
30,5,1201.641527,inf,0,7,Y,BRANCHED_Y,1,0
45,6,121778.350836,inf,0,8,Y,BRANCHED_Y,1,0
46,6,1187.772951,inf,0,5,Y,BRANCHED_Y,2,4
25,5,601047.734959,inf,0,5,Y,BRANCHED_Y,1,0
26,5,1183.020254,inf,0,3,Y,BRANCHED_Y,1,0
47,6,42376.360272,inf,0,2,Y,BRANCHED_Y,1,0
48,6,1218.816070,inf,0,6,Y,BRANCHED_Y,1,0
33,5,601062.308080,inf,0,5,Y,BRANCHED_Y,1,0
34,5,1195.442366,inf,0,3,Y,BRANCHED_Y,1,0
57,6,121785.926074,inf,0,8,Y,BRANCHED_Y,1,0
58,6,1204.511375,inf,0,5,Y,BRANCHED_Y,1,0
41,6,601086.115657,inf,0,1,Y,BRANCHED_Y,1,0
42,6,1202.100721,inf,0,3,Y,BRANCHED_Y,1,0
53,7,1226.887817,inf,0,8,Y,BRANCHED_Y,2,3
54,7,1234.553519,inf,0,8,Y,BRANCHED_Y,1,0
65,6,121796.397355,inf,0,5,Y,BRANCHED_Y,1,0
66,6,1216.658826,inf,0,5,Y,BRANCHED_Y,1,0
37,6,836307.465903,inf,0,3,Y,BRANCHED_Y,1,0
38,6,1213.814813,inf,0,3,Y,BRANCHED_Y,1,0
49,6,1220.532074,inf,0,6,Y,BRANCHED_Y,1,0
50,6,1257.412398,inf,0,2,Y,BRANCHED_Y,1,0
73,7,221788.178912,inf,0,0,Y,BRANCHED_Y,1,0
74,7,1242.892074,inf,0,8,Y,BRANCHED_Y,1,0
