node_id,depth,lp_bound,incumbent,branch_item,branch_t,direction,status,cg_iters,columns_added
0,0,1039.040684,inf,0,4,Y,BRANCHED_Y,1,0
1,1,11601094.983022,inf,0,6,Y,BRANCHED_Y,1,0
2,1,1070.713129,inf,0,9,Y,BRANCHED_Y,1,0
5,2,1071.322434,inf,0,8,Y,BRANCHED_Y,1,0
6,2,1087.771459,inf,0,7,Y,BRANCHED_Y,1,0
7,3,1076.814281,inf,0,7,Y,BRANCHED_Y,1,0
8,3,1120.779516,inf,0,3,Y,BRANCHED_Y,3,27
11,4,5801099.532817,inf,0,5,Y,BRANCHED_Y,1,0
12,4,1138.122348,inf,0,5,Y,BRANCHED_Y,2,3
9,3,1115.271147,inf,0,6,Y,BRANCHED_Y,2,1
10,3,1129.323169,inf,0,6,Y,BRANCHED_Y,1,0
19,4,1138.868542,inf,0,5,Y,BRANCHED_Y,1,0
20,4,1167.135351,inf,0,2,Y,BRANCHED_Y,1,0
13,4,8201119.511633,inf,0,5,Y,BRANCHED_Y,1,0
14,4,1161.539562,inf,0,5,Y,BRANCHED_Y,1,0
21,4,1149.943940,inf,0,2,Y,BRANCHED_Y,1,0
22,4,1179.844435,inf,0,2,Y,BRANCHED_Y,1,0
17,5,26801027.219672,inf,0,2,Y,BRANCHED_Y,1,0
18,5,1196.440476,inf,0,2,Y,BRANCHED_Y,1,0
23,5,4001159.778058,inf,0,2,Y,BRANCHED_Y,1,0
24,5,1186.233280,inf,0,2,Y,BRANCHED_Y,1,0
31,5,40801034.787155,inf,0,5,Y,BRANCHED_Y,1,0
32,5,1165.828843,inf,0,3,Y,BRANCHED_Y,1,0
29,5,1175.438055,inf,0,7,Y,BRANCHED_Y,1,0
30,5,1201.641527,inf,0,7,Y,BRANCHED_Y,1,0
45,6,8201186.702132,inf,0,8,Y,BRANCHED_Y,1,0
46,6,1187.772951,inf,0,5,Y,BRANCHED_Y,2,4
25,5,40801047.734959,inf,0,5,Y,BRANCHED_Y,2,6
